"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 2","Dusty Pierpoint","(Prefers Republican Party)",36203,39.98,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 2","Jessica Bateman","(Prefers Democratic Party)",54219,59.88,"Legislative"
"LEGISLATIVE DISTRICT 22 - State Representative Pos. 2","WRITE-IN"," ",121,0.13,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Senator","Christine Rolfes","(Prefers Democratic Party)",55170,63.89,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Senator","Pam Madden-Boyer","(Prefers Republican Party)",31107,36.02,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Senator","WRITE-IN"," ",80,0.09,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 1","Tarra Simmons","(Prefers Democratic Party)",53154,61.87,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 1","April Ferguson","(Prefers Republican Party)",32620,37.97,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 1","WRITE-IN"," ",142,0.17,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 2","Drew Hansen","(Prefers Democratic Party)",53425,62.24,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 2","Elaina Gonzales-Blanton","(Prefers Republican Party)",32317,37.65,"Legislative"
"LEGISLATIVE DISTRICT 23 - State Representative Pos. 2","WRITE-IN"," ",89,0.1,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Kevin Van De Wege","(Prefers Democratic Party)",49883,54.08,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Connie Beauvais","(Prefers Republican Party)",42289,45.84,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","WRITE-IN"," ",74,0.08,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Mike Chapman","(Prefers Democratic Party)",49965,54.17,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Sue Forde","(Prefers Republican Party)",42207,45.76,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","WRITE-IN"," ",67,0.07,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)",49262,53.64,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Brian Pruiett","(Prefers Republican Party)",42515,46.29,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","WRITE-IN"," ",66,0.07,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Chris Gildon","(Prefers Republican Party)",41440,53.79,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Julie Door","(Prefers Democratic Party)",35476,46.05,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","WRITE-IN"," ",123,0.16,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Kelly Chambers","(Prefers Republican Party)",41055,53.39,"Legislative"
